iteracao,score
10,-4621.998867642235
20,-4516.82166390226
30,-4480.122201574649
40,-4407.7341842233545
50,-4398.494798900487
60,-4398.38439896011
70,-4394.61635439802
80,-4390.5310108310205
90,-4379.939807659061
100,-4346.283868989177
110,-4340.465136223645
120,-4340.465136223645
130,-4339.371349909693
140,-4339.371349909693
150,-4313.2477523997295
160,-4305.654548088273
170,-4305.654548088273
180,-4305.654548088273
190,-4304.550256121643
200,-4304.550256121643
210,-4297.419243330798
220,-4297.419243330798
230,-4290.925301408587
240,-4290.606542645963
250,-4290.606542645963
260,-4290.606542645963
270,-4290.184675060812
280,-4289.914560882364
290,-4289.914560882364
300,-4289.914560882364
310,-4289.914560882364
320,-4289.914560882364
330,-4289.914560882364
340,-4289.914560882364
350,-4287.236498890464
360,-4286.871192331193
370,-4286.871192331193
380,-4286.871192331193
390,-4286.871192331193
400,-4286.871192331193
410,-4286.871192331193
420,-4286.871192331193
430,-4286.871192331193
440,-4286.871192331193
450,-4270.269560508225
460,-4269.937729815326
470,-4269.937729815326
480,-4269.937729815326
490,-4269.937729815326
500,-4269.937729815326
510,-4269.387123045124
520,-4267.586836801738
530,-4267.586836801738
540,-4267.586836801738
550,-4264.575689937647
560,-4264.575689937647
570,-4264.575689937647
580,-4264.575689937647
590,-4264.575689937647
600,-4264.575689937647
610,-4264.575689937647
620,-4264.575689937647
630,-4264.575689937647
640,-4264.575689937647
110,-4719.958330254005
120,-4540.005553769665
130,-4484.43797859829
140,-4465.146214505335
150,-4431.755494862564
160,-4431.724488750589
170,-4431.724488750589
180,-4431.724488750589
190,-4404.211435217362
200,-4397.485517639097
210,-4369.078778635595
220,-4343.489474667935
230,-4343.489474667935
240,-4343.489474667935
250,-4336.0252355402545
260,-4335.5708118240755
270,-4332.021580276704
280,-4330.1877749605355
290,-4330.1877749605355
300,-4330.1877749605355
310,-4330.1877749605355
320,-4330.1877749605355
330,-4330.1877749605355
340,-4298.5962860072605
350,-4294.417459986587
360,-4294.417459986587
370,-4271.976804442391
380,-4271.976804442391
390,-4268.662791088548
400,-4266.755267148238
410,-4261.316204932494
420,-4261.316204932494
430,-4261.316204932494
440,-4261.316204932494
450,-4260.38873904501
460,-4246.878670675873
470,-4246.878670675873
480,-4246.878670675873
490,-4246.878670675873
500,-4246.878670675873
510,-4246.878670675873
520,-4246.878670675873
530,-4243.619045187421
540,-4239.228459540695
550,-4235.490186330042
560,-4235.490186330042
570,-4235.490186330042
580,-4235.000876728256
590,-4235.000876728256
600,-4235.000876728256
610,-4216.878220944653
620,-4216.788275982295
630,-4215.0332112279075
640,-4215.0332112279075
650,-4213.113880388096
660,-4213.113880388096
670,-4213.113880388096
680,-4213.113880388096
690,-4213.113880388096
700,-4213.113880388096
710,-4213.113880388096
720,-4213.113880388096
730,-4213.113880388096
740,-4213.113880388096
210,-4616.5862391303735
