iteracao,score
0,-4734.566276968445
10,-4678.887653974146
20,-4548.30071504931
30,-4513.798691065632
40,-4472.455174613776
50,-4370.338274839862
60,-4361.619954590551
70,-4343.458398809965
80,-4341.466075505011
90,-4334.595120867177
100,-4334.595120867177
110,-4334.155267548364
120,-4333.3793953874
130,-4333.3793953874
140,-4332.781375373874
150,-4316.940983711089
160,-4316.940983711089
170,-4316.940983711089
180,-4316.940983711089
190,-4316.940983711089
200,-4315.927322157081
210,-4304.140626439531
220,-4304.140626439531
230,-4282.978377741093
240,-4282.028185510888
250,-4282.028185510888
260,-4282.028185510888
270,-4282.028185510888
280,-4282.028185510888
290,-4282.028185510888
300,-4282.028185510888
310,-4282.028185510888
320,-4282.028185510888
330,-4276.358585493678
340,-4268.039563006289
350,-4268.039563006289
360,-4267.327968781559
370,-4267.327968781559
380,-4262.4604210382
390,-4262.4604210382
400,-4254.133065171483
410,-4254.056712635226
420,-4253.99282519751
430,-4253.99282519751
440,-4253.99282519751
450,-4244.220590744703
460,-4244.220590744703
470,-4244.220590744703
480,-4244.220590744703
490,-4244.220590744703
500,-4244.220590744703
510,-4244.220590744703
520,-4244.220590744703
530,-4244.220590744703
540,-4244.220590744703
550,-4244.220590744703
560,-4244.220590744703
570,-4244.220590744703
580,-4244.220590744703
590,-4243.4480431504635
600,-4243.4480431504635
610,-4243.4480431504635
620,-4243.4480431504635
630,-4243.4480431504635
640,-4243.4480431504635
650,-4243.4480431504635
660,-4243.425095403848
670,-4243.425095403848
680,-4243.425095403848
690,-4243.425095403848
700,-4243.425095403848
710,-4243.425095403848
720,-4243.231275377832
730,-4239.698657933545
740,-4239.698657933545
750,-4239.698657933545
760,-4239.698657933545
770,-4239.056685979316
780,-4239.056685979316
790,-4239.056685979316
800,-4239.056685979316
810,-4239.056685979316
820,-4239.056685979316
830,-4239.056685979316
840,-4239.056685979316
850,-4239.056685979316
860,-4239.056685979316
870,-4239.056685979316
880,-4239.056685979316
890,-4233.3758888555685
900,-4233.3758888555685
910,-4233.3758888555685
920,-4233.3758888555685
930,-4233.3758888555685
940,-4233.3758888555685
950,-4233.3758888555685
960,-4233.3758888555685
970,-4233.3758888555685
980,-4232.086210946598
990,-4232.086210946598
1000,-4232.086210946598
1010,-4232.086210946598
1020,-4232.086210946598
1030,-4229.917365740237
1040,-4229.917365740237
1050,-4229.917365740237
1060,-4229.917365740237
1070,-4229.917365740237
1080,-4229.917365740237
